context_id,label,start,end,code_start,code_end
context-0_0,LAW,7.626,8.887,177,214
context-0_0,PLACE,0.0,0.0,-1,-1
context-0_1,PLACE,14.332,14.712,346,357
context-0_1,PLACE,19.216,19.576,459,469
context-0_1,LAW,2.882,4.804,74,125
context-0_1,WHEN,0.0,0.821,-1,22
context-0_1,ORG,0.0,0.0,-1,-1
context-0_1,NORP,0.0,0.0,-1,-1
context-0_1,PERSON,0.0,0.0,-1,-1
context-0_1,QUANT,0.0,0.0,-1,-1
context-0_2,QUANT,0.0,0.0,-1,-1
context-0_3,QUANT,7.713,7.993,220,230
context-0_3,ORG,4.067,5.409,123,161
context-0_3,WHEN,0.0,0.0,-1,-1
context-0_3,LAW,0.0,0.0,-1,-1
context-0_4,QUANT,7.698,7.958,207,218
context-0_4,PERSON,5.232,5.513,137,148
context-0_4,PERSON,4.51,4.992,114,130
context-0_4,PERSON,3.849,4.43,98,113
context-0_4,PERSON,3.428,3.829,86,97
context-0_4,WHEN,2.265,2.907,63,73
context-0_4,QUANT,0.922,1.123,18,23
context-0_4,NORP,0.0,0.0,-1,-1
context-0_4,PLACE,0.0,0.0,-1,-1
context-0_4,ORG,0.0,0.0,-1,-1
context-0_4,LAW,0.0,0.0,-1,-1
context-0_5,QUANT,10.999,11.139,316,320
context-0_5,LAW,0.0,0.0,-1,-1
context-0_6,PERSON,0.0,0.0,-1,-1
context-0_7,LAW,23.979,25.56,613,660
context-0_7,QUANT,0.0,0.0,-1,-1
context-0_8,WHEN,0.0,0.0,-1,-1
context-0_9,PLACE,0.0,0.0,-1,-1
context-0_10,PLACE,6.857,6.957,189,191
context-0_10,ORG,0.0,0.0,-1,-1
context-0_11,PLACE,7.519,7.88,225,232
context-0_11,PLACE,6.817,7.218,208,219
context-0_11,PLACE,6.216,6.737,190,206
context-0_11,PLACE,1.664,1.945,53,57
context-0_11,WHEN,0.0,0.0,-1,-1
context-0_11,PERSON,0.0,0.0,-1,-1
context-0_11,QUANT,0.0,0.0,-1,-1
context-0_11,ORG,0.0,0.0,-1,-1
context-0_12,NORP,0.0,0.0,-1,-1
context-0_13,ORG,2.563,4.366,62,120
context-0_13,WHEN,1.322,2.303,30,56
context-0_13,QUANT,0.0,0.0,-1,-1
context-0_13,NORP,0.0,0.0,-1,-1
context-0_14,ORG,0.0,0.0,-1,-1
context-0_15,QUANT,0.281,1.064,4,26
context-0_15,PLACE,0.0,0.0,-1,-1
context-0_16,PLACE,0.0,0.0,-1,-1
context-0_17,NORP,0.0,0.0,-1,-1
context-0_18,QUANT,4.086,4.306,111,117
context-0_18,PLACE,1.803,2.083,50,55
context-0_18,NORP,0.0,0.0,-1,-1
context-0_18,ORG,0.0,0.0,-1,-1
context-0_19,PLACE,7.535,7.876,206,212
context-0_19,QUANT,0.0,0.0,-1,-1
context-0_20,PLACE,2.85,3.151,87,98
context-0_20,LAW,0.0,0.0,-1,-1
context-0_21,QUANT,20.953,21.133,542,546
context-0_21,PLACE,20.673,20.793,534,537
context-0_21,WHEN,0.0,0.0,-1,-1
context-0_21,ORG,0.0,0.0,-1,-1
context-0_22,PLACE,16.347,16.667,441,447
context-0_22,QUANT,9.764,10.084,257,265
context-0_22,PLACE,6.583,6.883,174,180
context-0_22,ORG,1.721,2.641,36,66
context-0_22,LAW,0.0,0.0,-1,-1
context-0_22,NORP,0.0,0.0,-1,-1
context-0_22,WHEN,0.0,0.0,-1,-1
context-0_22,PERSON,0.0,0.0,-1,-1
context-0_23,WHEN,2.305,2.847,51,66
context-0_23,NORP,1.002,1.484,20,34
context-0_23,ORG,0.0,0.0,-1,-1
context-0_23,QUANT,0.0,0.0,-1,-1
context-0_24,QUANT,6.917,7.138,206,215
context-0_24,ORG,0.0,0.0,-1,-1
context-0_25,WHEN,10.457,11.558,322,356
context-0_25,LAW,9.195,10.296,278,318
context-0_25,PERSON,0.0,0.0,-1,-1
context-0_25,NORP,0.0,0.0,-1,-1
context-0_26,LAW,14.598,15.76,412,451
context-0_26,ORG,0.0,0.0,-1,-1
context-0_27,NORP,0.0,0.0,-1,-1
context-0_28,PLACE,20.477,20.757,603,609
context-0_28,PLACE,8.687,9.668,234,266
context-0_28,WHEN,1.721,3.663,45,80
context-0_28,PERSON,0.0,0.0,-1,-1
context-0_28,LAW,0.0,0.0,-1,-1
context-0_28,NORP,0.0,0.0,-1,-1
context-0_29,LAW,7.457,8.58,223,260
context-0_29,QUANT,0.0,0.0,-1,-1
context-0_30,QUANT,3.795,3.996,119,124
context-0_30,NORP,0.0,0.0,-1,-1
context-0_31,PLACE,9.139,9.44,238,246
context-0_31,LAW,0.0,0.0,-1,-1
context-0_32,NORP,0.0,0.0,-1,-1
context-0_33,PLACE,6.713,7.495,170,184
context-0_33,NORP,0.0,0.0,-1,-1
context-0_34,PLACE,0.0,0.0,-1,-1
context-0_35,QUANT,11.435,12.577,296,323
context-0_35,ORG,0.0,0.0,-1,-1
context-0_36,WHEN,4.446,5.367,122,146
context-0_36,QUANT,0.0,0.0,-1,-1
context-0_37,PLACE,17.536,17.737,484,490
context-0_37,WHEN,7.587,8.188,208,230
context-0_37,NORP,3.423,3.784,97,109
context-0_37,ORG,0.0,0.0,-1,-1
context-0_37,QUANT,0.0,0.0,-1,-1
context-0_37,LAW,0.0,0.0,-1,-1
context-0_38,PERSON,0.0,0.0,-1,-1
context-0_39,PLACE,13.679,13.94,397,400
context-0_39,WHEN,0.0,0.0,-1,-1
context-0_40,QUANT,0.0,0.0,-1,-1
context-0_41,ORG,0.0,0.0,-1,-1
context-0_42,PERSON,0.0,0.0,-1,-1
context-0_43,ORG,0.0,0.0,-1,-1
context-0_44,PLACE,0.401,0.661,8,13
context-0_44,ORG,0.0,0.0,-1,-1
context-0_45,PLACE,0.0,0.0,-1,-1
context-0_45,QUANT,0.0,0.0,-1,-1
context-0_46,LAW,0.0,0.0,-1,-1
context-0_47,PERSON,9.87,10.25,302,313
context-0_47,ORG,6.486,8.348,205,265
context-0_47,ORG,5.425,6.246,173,195
context-0_47,NORP,3.784,4.124,117,129
context-0_47,QUANT,0.0,0.0,-1,-1
context-0_47,WHEN,0.0,0.0,-1,-1
context-0_47,PLACE,0.0,0.0,-1,-1
context-0_47,LAW,0.0,0.0,-1,-1
context-0_48,QUANT,24.277,24.757,674,688
context-0_48,WHEN,20.534,22.976,568,642
context-0_48,PLACE,18.513,18.913,499,514
context-0_48,ORG,0.0,0.0,-1,-1
context-0_48,PERSON,0.0,0.0,-1,-1
context-0_48,NORP,0.0,0.0,-1,-1
context-0_49,WHEN,0.0,0.0,-1,-1
context-0_50,LAW,0.0,0.0,-1,-1
context-0_51,ORG,0.0,0.0,-1,-1
context-0_52,ORG,5.27,6.132,129,155
